conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,clean_text,nama_gunung_ekstraksi
1983524398364835933,Wed Oct 29 13:20:43 +0000 2025,8,UNESCO Global Geopark in Indonesia: 1. Batur 2. Gunung Sewu 3. Ciletuh-Palabuhanratu 4. Rinjani-Lombok 5. Toba Caldera 6. Belitong 7. Merangin Jambi 8. Ijen 9. Maros Pangkep 10. Raja Ampat 11. Kebumen 12. Meratus,1983524398364835933,,,in,,0,0,0,https://x.com/undefined/status/1983524398364835933,1584150314944692224,,unesco global geopark in indonesia: 1. batur 2. gunung sewu 3. ciletuh-palabuhanratu 4. rinjani-lombok 5. toba caldera 6. belitong 7. merangin jambi 8. ijen 9. maros pangkep 10. raja ampat 11. kebumen 12. meratus,Rinjani
1983524370497806656,Wed Oct 29 13:20:36 +0000 2025,7,Taman Bumi (Geopark) Dunia/Global UNESCO di Indonesia: 1. Batur 2. Gunung Sewu 3. Ciletuh-Palabuhanratu 4. Rinjani-Lombok 5. Kaldera Toba 6. Belitong 7. Merangin Jambi 8. Ijen 9. Maros Pangkep 10. Raja Ampat 11. Kebumen 12. Meratus,1983524370497806656,,,in,,0,0,0,https://x.com/undefined/status/1983524370497806656,1584150314944692224,,taman bumi (geopark) dunia/global unesco di indonesia: 1. batur 2. gunung sewu 3. ciletuh-palabuhanratu 4. rinjani-lombok 5. kaldera toba 6. belitong 7. merangin jambi 8. ijen 9. maros pangkep 10. raja ampat 11. kebumen 12. meratus,Rinjani
1988954828475969835,Thu Nov 13 12:59:18 +0000 2025,4,entah kenapa setelah pendakian argopuro lintas baderan-bremi rasa ingin mendaki gunung2 lain di jawa menurun (kecuali semeru dan argopuro itu sendiri). infokan gunung di jawa yg masih sepi dan jalurnya rapat dong masio babat alas rapopo luwih ikhlas https://t.co/tEFREXq0Zd,1988954828475969835,https://pbs.twimg.com/amplify_video_thumb/1988954437130592256/img/DILnR6jxv0sTf-fw.jpg,,in,,1,1,0,https://x.com/undefined/status/1988954828475969835,1785646092413194240,,entah kenapa setelah pendakian argopuro lintas baderan-bremi rasa ingin mendaki gunung2 lain di jawa menurun (kecuali semeru dan argopuro itu sendiri). infokan gunung di jawa yg masih sepi dan jalurnya rapat dong masio babat alas rapopo luwih ikhlas,Argopuro
1988921456625869064,Thu Nov 13 10:46:42 +0000 2025,2,Ternyata foto2 ku pas pendakian kawah candradimuka gunung lawu sitik bgt padahal effort e sak polll e tekan kene batuan pas susur sungai licin bgt tebing e sejajar muka manjat2 pake tali Yowes lah penting pengalaman e https://t.co/R4eYx0R8YY,1988921456625869064,https://pbs.twimg.com/media/G5oRhfOacAAWeGd.jpg,,in,,0,0,0,https://x.com/undefined/status/1988921456625869064,3283902644,,ternyata foto2 ku pas pendakian kawah candradimuka gunung lawu sitik bgt padahal effort e sak polll e tekan kene batuan pas susur sungai licin bgt tebing e sejajar muka manjat2 pake tali yowes lah penting pengalaman e,Lawu
1988854052566794276,Thu Nov 13 06:30:38 +0000 2025,1,@emokambekkon @free_drinn Klaten disebut Kota Seribu Umbul karena letak geografisnya yang berada di cekungan antara Gunung Merapi (vulkanik) dan Pegunungan Sewu (karst). Tanah vulkanik yang porous dan struktur batuan kapur memungkinkan air hujan meresap dalam-dalam lalu muncul kembali sebagai mata air,1988857017361158397,,emokambekkon,in,,0,0,0,https://x.com/undefined/status/1988857017361158397,1720665183188922368,,klaten disebut kota seribu umbul karena letak geografisnya yang berada di cekungan antara gunung merapi (vulkanik) dan pegunungan sewu (karst). tanah vulkanik yang porous dan struktur batuan kapur memungkinkan air hujan meresap dalam-dalam lalu muncul kembali sebagai mata air,Merapi
1988556516199191003,Wed Nov 12 13:36:51 +0000 2025,0,@cottomns INI TOP 2 BEST READ GUA TAHUN INI SETELAH TOKO NAMIYA peak romance peak plot twist peak kosakata peak pembahasaan literally puncak gunung rinjani alias PEAK,1988601888640848094,,cottomns,in,,0,0,0,https://x.com/undefined/status/1988601888640848094,1755596788206387200,,ini top 2 best read gua tahun ini setelah toko namiya peak romance peak plot twist peak kosakata peak pembahasaan literally puncak gunung rinjani alias peak,Rinjani
1988552265335005494,Wed Nov 12 10:19:40 +0000 2025,235,Pad! kalian tau gasih diatas kampus unpad ada gunung dengan pemandangan lautan awan secantik ini ini di gunung manglayang yang tiap harii kalian liat gass agendain buat naik dan ngecamp di gunung manglayang jangan lupa sewa perlengkapannya di timur outdoor https://t.co/yv4Bk7hZrA,1988552265335005494,https://pbs.twimg.com/media/G5jBv1MWsAARvCB.jpg,,in,,5,12,4,https://x.com/undefined/status/1988552265335005494,1734036638605733888,,pad! kalian tau gasih diatas kampus unpad ada gunung dengan pemandangan lautan awan secantik ini ini di gunung manglayang yang tiap harii kalian liat gass agendain buat naik dan ngecamp di gunung manglayang jangan lupa sewa perlengkapannya di timur outdoor,Manglayang
1988522463118893568,Wed Nov 12 08:21:14 +0000 2025,0,Map Mount Kemiri cakep banget beneran kayak gunung rintangannya masih masuk akal tapi jauh puncaknya ini aku ngirim gini belum nyampe puncak masih di jalan,1988522463118893568,,,in,,0,1,0,https://x.com/undefined/status/1988522463118893568,1600997525045260288,,map mount kemiri cakep banget beneran kayak gunung rintangannya masih masuk akal tapi jauh puncaknya ini aku ngirim gini belum nyampe puncak masih di jalan,Kemiri
1988467554541859311,Wed Nov 12 04:43:03 +0000 2025,0,Selalu waspada banjir lahar yaaa! Di musim hujan banjir lahar di Gunung Merapi atau gunung api aktif lainnya berisiko bisa terjadi dengan membawa material vulkanik. Arusnya bisa deras dan datang tiba-tiba. https://t.co/7Cepz4Enb3,1988467554541859311,https://pbs.twimg.com/ext_tw_video_thumb/1988467533893206016/pu/img/wOUAtzt5doDs2t0q.jpg,,in,,0,1,0,https://x.com/undefined/status/1988467554541859311,1083207375861862400,,selalu waspada banjir lahar yaaa! di musim hujan banjir lahar di gunung merapi atau gunung api aktif lainnya berisiko bisa terjadi dengan membawa material vulkanik. arusnya bisa deras dan datang tiba-tiba.,Merapi
1988447670776549636,Wed Nov 12 03:24:02 +0000 2025,0,Erupsi Gunung Marapi 2025: Kolom Abu 400 Meter &amp; Imbauan PVMBG https://t.co/EDHbpzD55M,1988447670776549636,,,in,,0,0,0,https://x.com/undefined/status/1988447670776549636,1466815910518263808,,erupsi gunung marapi 2025: kolom abu 400 meter &amp; imbauan pvmbg,Marapi
