"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1973175872451649594","Tue Sep 30 23:59:22 +0000 2025","0","Anggota Polsek Sukapura respon cepat dalam menangani kejadian tanah longsor di jalur wisata menuju Gunung Bromo di Dusun Jurang Jontro Desa Wonokerto Kec. Sukapura Kab. Probolinggo. Selasa 30 September 2025 https://t.co/ie4WZOTp5M","1973175872451649594","https://pbs.twimg.com/ext_tw_video_thumb/1973175824573693952/pu/img/yeGOaG5VeMt1xvF7.jpg","","in","","0","0","0","https://x.com/undefined/status/1973175872451649594","1507909710863007745",
"1973175863136190642","Tue Sep 30 23:59:20 +0000 2025","0","Gempa memicu aktivitas Gunung Berapi","1973175863136190642","","","in","","0","0","0","https://x.com/undefined/status/1973175863136190642","106625648",
"1973175592423203255","Tue Sep 30 23:58:15 +0000 2025","0","Gunung yg gw mainin sama doi sampe stress gara gara matek mulu endingnya kaga kelar ","1973175592423203255","","","in","","0","0","0","https://x.com/undefined/status/1973175592423203255","2589931452",
"1972804875047120900","Tue Sep 30 23:57:50 +0000 2025","0","@Baltonara @tanyarlfes Waahh....mantap itu. kalo tempat ku cuma gunung aja yg dekat kalo pantai jauh","1973175486756122867","","Baltonara","in","","0","0","0","https://x.com/undefined/status/1973175486756122867","820250279488589825",
"1973174454156140609","Tue Sep 30 23:53:44 +0000 2025","0","Monyet² gunung ini mulai mencari korban tumbal MBG yg nantinya guru²lah yg bakal jd korban kebijakan MBG. Korban MBG... + Anak² Indonesia. + Guru² Indonesia. + Penyedia Makanan. + Pajak Rakyat. https://t.co/USOziPJ5PL","1973174454156140609","https://pbs.twimg.com/media/G2IftW9aIAAMdBy.jpg","","in","","0","0","0","https://x.com/undefined/status/1973174454156140609","4146240312",
"1973174300292366525","Tue Sep 30 23:53:07 +0000 2025","1","kena mental bgt naik gunung 100 cp itu ya monyet ‍","1973174300292366525","","","in","","0","1","0","https://x.com/undefined/status/1973174300292366525","1877894640080478208",
"1973172702421938612","Tue Sep 30 23:46:46 +0000 2025","19","kalau naik gunung tanpa persiapan terus mati korbannya pasti disalahin. kalau begini ini mabok tanpa ditemani ga jaga diri lalu kena musibah kenapa ga boleh disalahin? yang marah-marah orang lain pula. padahal siapa tau dianya nrimo aja disalahin ","1973172702421938612","","","in","","0","0","1","https://x.com/undefined/status/1973172702421938612","1759598179992084480",
"1973172679944577171","Tue Sep 30 23:46:41 +0000 2025","1","Life outside twitter seru2 ya ada yang gunung pantai suka banget lihat alam2","1973172679944577171","","","in","","0","0","0","https://x.com/undefined/status/1973172679944577171","1166898708102795266",
"1973172149243486441","Tue Sep 30 23:44:34 +0000 2025","0","Akhirnya mba Sakdiyah turun gunung lagi. @sakdiyahmaruf","1973172149243486441","","","in","","0","0","0","https://x.com/undefined/status/1973172149243486441","399111939",
"1973170648563466516","Tue Sep 30 23:44:04 +0000 2025","0","gunung merapi tidak berada dalam keadaan yang stabil~ &amp; semua gunung berapi aktif lainnya akan juga berada dalam yang sama~ https://t.co/QTAkwR6CH9","1973172020893589986","https://pbs.twimg.com/media/G2IdfouaIAQlxXx.jpg","ahmadqabil","in","","0","0","0","https://x.com/undefined/status/1973172020893589986","2917870042",
