"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1962137960695947353","Sun Aug 31 23:59:45 +0000 2025","0","@roblox_fess gag sm gunung","1962304332600418337","","roblox_fess","in","","0","0","0","https://x.com/undefined/status/1962304332600418337","1253485350024032256",
"1962303528002822508","Sun Aug 31 23:56:33 +0000 2025","0","Agustus A-nya adventure awal bulan mendaki gunung. pertengahan bulan ke solo dan jogja. akhir bulan main ke sungai. https://t.co/wuOfOSyUrO","1962303528002822508","https://pbs.twimg.com/media/GzuAph6aAAIc0Ht.jpg","","in","","0","0","0","https://x.com/undefined/status/1962303528002822508","1297563691",
"1962303370548715714","Sun Aug 31 23:55:59 +0000 2025","0","perlunya strategi yang lebih terencana untuk mengatasi overtourism. Pada akhirnya Gunung Fuji Lawson bukan hanya tentang foto indah melainkan simbol nyata bahwa masalah pariwisata Jepang harus ditangani dengan serius agar keseimbangan antara wisata dan kehidupan masyarakat.","1962303385908219968","","podcast_tyler","in","","0","0","0","https://x.com/undefined/status/1962303385908219968","1446295404287455238",
"1962303370548715714","Sun Aug 31 23:55:58 +0000 2025","0","berperan besar dalam membentuk pola wisata di Gunung Fuji Lawson. Meski banyak warga bersyukur atas peningkatan ekonomi sebagian lain menilai ada batas atas dalam menerima arus turis. Dari masalah infrastruktur hingga keterbatasan fasilitas Gunung Fuji Lawson menunjukkan","1962303380354892282","","podcast_tyler","in","","0","1","0","https://x.com/undefined/status/1962303380354892282","1446295404287455238",
"1962303370548715714","Sun Aug 31 23:55:56 +0000 2025","0","Lawson di Gunung Fuji kini menjadi ikon unik yang memperlihatkan dua sisi pariwisata Jepang. Di satu sisi Lawson dengan latar Gunung Fuji mendatangkan ribuan wisatawan asing membawa keuntungan bagi bisnis lokal. Namun di sisi lain fenomena ini juga menimbulkan masalah https://t.co/h7DptlbvQF","1962303370548715714","https://pbs.twimg.com/media/GzuAg_jbIAAo77Z.jpg","","in","","0","1","1","https://x.com/undefined/status/1962303370548715714","1446295404287455238",
"1962301495220580365","Sun Aug 31 23:55:13 +0000 2025","36","@roblox_fess benerr :( aku pas di gunung daun di tawarin gendong mulu pas aku tolak responnya ga enak. padahal aku di gunung daun tuh emang mau belajarr biar ga dontol","1962303193989493058","","roblox_fess","in","","0","2","0","https://x.com/undefined/status/1962303193989493058","1951083862739779584",
"1962303130819006968","Sun Aug 31 23:54:59 +0000 2025","0","ibarat lagi ngebahas bakso tapi gunung krakatau diseret seret ke pembahasan deuhh","1962303132635115980","","mochiyklepon","in","","0","0","0","https://x.com/undefined/status/1962303132635115980","2301202585",
"1962302855467168139","Sun Aug 31 23:53:53 +0000 2025","0","Coy gue mimpi ke bali beneran mimpi liat sunset di bali di beach club tapi kok ada gunung segala???","1962302855467168139","","","in","","0","0","0","https://x.com/undefined/status/1962302855467168139","117651955",
"1962301291935523274","Sun Aug 31 23:49:47 +0000 2025","0","@thecinanamon Eh semalem aku cb gunung ini baru post 3/5 lupa dah jatoh trs emg sesusah itu ","1962301826327560392","","thecinanamon","in","","0","1","0","https://x.com/undefined/status/1962301826327560392","1509127795926274048",
"1962301570923774304","Sun Aug 31 23:48:46 +0000 2025","0","BANYAK PEJABAT KE LUAR NEGERI MENDING NAIK GUNUNG AJA https://t.co/uWZmfhDmaj","1962301570923774304","https://pbs.twimg.com/amplify_video_thumb/1962301498488233984/img/MMDj5KiVxRrJvmqI.jpg","","in","","0","0","0","https://x.com/undefined/status/1962301570923774304","110581726",
