"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1951063378753212755","Thu Jul 31 23:59:45 +0000 2025","0","@DantaDinta Kalo dah smpe finansial freedom ngko lak kangen maneh ma hobi..","1951070308074660301","","DantaDinta","in","","0","1","0","https://x.com/undefined/status/1951070308074660301","1735141551393878016",
"1951070192504807734","Thu Jul 31 23:59:17 +0000 2025","0","gunung kesukaan ibuk ibuk https://t.co/2opybELq47","1951070192504807734","https://pbs.twimg.com/media/GxOX-8bboAAVHEz.jpg","","in","","0","3","0","https://x.com/undefined/status/1951070192504807734","1641017338626723840",
"1951067189659967499","Thu Jul 31 23:58:51 +0000 2025","0","@ziyasha_ @whisimcal pertama di yagataw kamuu udah muncak ke gunung stress aja pagi pagii ","1951070083629167085","","ziyasha_","in","","0","1","0","https://x.com/undefined/status/1951070083629167085","1696844658",
"1950461339627143599","Thu Jul 31 23:55:34 +0000 2025","0","Selain bengong aku jg hiking di sana. Cukup ekstrem karena ga pake sepatu hiking (emg awalnya ga diniatin hiking) udah gt jg treknya banyak esnya. Dan pemandangannya cantik dan beragam bgt mulai dr gunung sungai hutan es sampai padang savanah. Semua di satu wilayah! Goks! https://t.co/26IllaPK3E","1951069257564856689","https://pbs.twimg.com/amplify_video_thumb/1951069139608674306/img/I8BFp0fdyJ0h9qMH.jpg","daien___","in","","0","1","0","https://x.com/undefined/status/1951069257564856689","438314638",
"1951067933842743348","Thu Jul 31 23:50:19 +0000 2025","0","Pengen liat bendera yg berkibar di gunung ","1951067933842743348","","","in","","0","0","0","https://x.com/undefined/status/1951067933842743348","2167602541",
"1951066795034681566","Thu Jul 31 23:45:47 +0000 2025","0","Seraf Aspirasi Masyarakat Bhabinkamtibmas Desa Sangkan Gunung Gelar Jumat Curhat #poldabali #humaspoldabali #polripresisi #polseksidemenpoldabali #polripedulikeamanan #bluelaightpatrol @poldabali @divisihumaspolri @polripresisi https://t.co/F2FALxIKxN","1951066795034681566","https://pbs.twimg.com/media/GxOU6LZaIAAt9P4.jpg","","in","","0","0","0","https://x.com/undefined/status/1951066795034681566","1641624516299493376",
"1951066613203001666","Thu Jul 31 23:45:04 +0000 2025","2","Enek sing gelem camp gunung pundak sesok? M only cah","1951066613203001666","","","in","","0","0","0","https://x.com/undefined/status/1951066613203001666","1217996995370967040",
"1951066600733557225","Thu Jul 31 23:45:01 +0000 2025","0","06.26 #LalinSonora Jl. Kramat raya dari arah salemba menuju layang senen terpantau ramai sekali namun masih bergerak lancar arah sebaliknya lebih lancar. Dari layang senen menuju ke jl. Gunung sahari sampai taman wahidin dua arahnya ramai lancar cuaca cerah. @lesmanavivi https://t.co/o1LzG3juzu","1951066600733557225","https://pbs.twimg.com/media/GxOUujQaYAAam0M.jpg","","in","","0","0","0","https://x.com/undefined/status/1951066600733557225","180696019",
"1951061873656467685","Thu Jul 31 23:44:34 +0000 2025","2","seni manusia atau sebagai besi yang paling sulit dari segalanya dilunakkan oleh api yang menyala di gunung. Ketika medan magnet runtuh... dan itu akan... Bumi menjadi tidak terlindung untuk sementara waktu. Itu berarti lebih banyak radiasi kosmik menghantam permukaan ","1951066487843967020","","DambaanA","in","","0","1","0","https://x.com/undefined/status/1951066487843967020","1603570929635692545",
"1950794222400844103","Thu Jul 31 23:42:54 +0000 2025","0","@roblox_fess ini gunung seru kl mainnya ramean n di gendong wkwkw","1951066068568646101","","roblox_fess","in","","0","0","0","https://x.com/undefined/status/1951066068568646101","1518362868529635328",
"1950978873782575584","Thu Jul 31 23:38:55 +0000 2025","0","@midxwst ini gunung apa jir","1951065066788532465","","midxwst","in","","0","1","0","https://x.com/undefined/status/1951065066788532465","792750181779435521",
"1949650670212005897","Thu Jul 31 23:38:40 +0000 2025","0","@crimsonscoups betul besok kita menjadi gunung sunda di hari pertama ya","1951065003135738102","","crimsonscoups","in","","0","0","0","https://x.com/undefined/status/1951065003135738102","3385356448",
"1951061873656467685","Thu Jul 31 23:35:05 +0000 2025","2","pelat ekstrem/seismik dan ekstremitas gunung berapi). Jadi brown dwarf masih bisa 25 juta mil jauhnya dari bumi ketika ini terjadi tetapi Nibiru/Planet X akan melewati antara jarak bumi dan bulan saat ia mengelilingi brown dwarf (Nemesis). Ada pergeseran tiang yang lebih","1951064101112914005","","DambaanA","in","","0","1","0","https://x.com/undefined/status/1951064101112914005","1603570929635692545",
"1950927113353368024","Thu Jul 31 23:27:01 +0000 2025","0","@helltothelen WKWKW GUNUNG NYEBELIN","1951062073183752198","","helltothelen","in","","0","1","0","https://x.com/undefined/status/1951062073183752198","1904533701628936192",
"1951062061074751603","Thu Jul 31 23:26:58 +0000 2025","11","Petanda kiamat besar dah muncul. Bersedialah... https://t.co/RA2j96uXNx","1951062061074751603","","","in","","0","0","0","https://x.com/undefined/status/1951062061074751603","79485719",
"1951062035883761926","Thu Jul 31 23:26:52 +0000 2025","0","kalo di kedoya ada gunung es https://t.co/USH30IT70j","1951062035883761926","https://pbs.twimg.com/media/GxOQlEWaIAIIHfw.jpg","","in","","0","0","0","https://x.com/undefined/status/1951062035883761926","2981345454",
"1951061766009659620","Thu Jul 31 23:25:48 +0000 2025","0","06.16 #LalinSonora Lalulintas di jl Gunung Sahari dari simpang Mangga Besar ke Ancol dua arah lancar. Berlaku ganjil genap. @bram92 https://t.co/PD6JTkOueI","1951061766009659620","https://pbs.twimg.com/media/GxOQVTOaIAEnwPe.jpg","","in","","0","0","0","https://x.com/undefined/status/1951061766009659620","180696019",
"1950461339627143599","Thu Jul 31 23:24:39 +0000 2025","0","Nah ini dia penampakan Cradle Mountain nya. Kl winternya dingin bgt itu gunung bisa ketutup salju tebel. Tp skrng lg ga terlalu dingin jd cm sejumput salju aja tu yg kesisa. Tp ttp cantik sih! 5 jam nyetir buat bengong liat pemandangan begini sih ga sia2 menurut aku ya. https://t.co/pojdQ4lO26","1951061474757030352","https://pbs.twimg.com/media/GxOQAItaIAATYbt.jpg","daien___","in","","0","1","0","https://x.com/undefined/status/1951061474757030352","438314638",
"1951061097185935564","Thu Jul 31 23:23:09 +0000 2025","0","jangan tantangin gua main labirin mau main labirin di atas gunung jg gua ladenin brooo","1951061097185935564","","","in","","0","0","0","https://x.com/undefined/status/1951061097185935564","1753016617502744576",
"1951060264327193021","Thu Jul 31 23:22:10 +0000 2025","0","Saben balli kerjo awakk kesel pgn e ndang leren tp ngerti omah ra disapu sore ngasi ky ra disapu seminggu bahkan wingi enek isah2an sak gunung merbabu njir","1951060852687388747","","asaberliana","in","","0","1","0","https://x.com/undefined/status/1951060852687388747","3237885913",
"1950800716240400628","Thu Jul 31 23:22:02 +0000 2025","0","@djedjeandrea @zakiberkata kemarin ad berita setelah gempa salah satu gunung tertinggi diRusia meletus","1951060817098711202","","djedjeandrea","in","","1","0","0","https://x.com/undefined/status/1951060817098711202","50481416",
